candidate,normalized_std,normalized_mean,normalized_abs_mean,normalized_r2_on_state,raw_r2_on_state,corr_with_bid_depth,corr_with_imbalance,score_lower_is_better,intercept
sell_pressure_depth,0.7472251942796551,0.15401013053542037,0.23988627771547555,0.03304134748181675,0.035235242670710876,-0.06814803208179647,-0.05507091492702132,0.15626029449063455,1.5015905463911687
inv_bid_depth,0.7833690321222809,0.1648378496782348,0.26119966786188414,0.03211207530121274,0.035235242670710876,-0.09103247193138993,-0.09930493290277824,0.2224494801353809,1.385687228833728
spread_over_bid_depth,0.7738477352030397,0.16822058512903318,0.2578169324110858,0.029937740923638878,0.035235242670710876,-0.09883412528895145,-0.1018429393263156,0.23061480553890595,1.3577224002319417
inv_mean_depth,0.9050163632923206,0.19145655559654998,0.3015965210213335,0.03603502719092866,0.035235242670710876,-0.11137317076837687,-0.13720607504443735,0.28461427300374287,1.3522298057359463
