n,state_mean,value_mean,value_std,value_se,ci95_low,ci95_high,state_column,value_column,bin_label
101,6.0317580645007105,0.14535651549591133,0.8168662432208476,0.08128122914318618,-0.013954693624733588,0.3046677246165562,bid_depth_before,beta_normalized_best,"(5.17, 6.435]"
101,7.19752739769947,0.2572995846356974,0.7387162636732302,0.07350501553678325,0.11322975418360223,0.40136941508779256,bid_depth_before,beta_normalized_best,"(6.435, 7.617]"
96,8.040024956628594,0.14419612236913748,0.7466006764987874,0.0761996124599484,-0.005155118052361379,0.2935473627906363,bid_depth_before,beta_normalized_best,"(7.617, 8.772]"
100,10.088002305417831,0.06784938092367632,0.6784938092367632,0.06784938092367632,-0.06513540568672926,0.2008341675340819,bid_depth_before,beta_normalized_best,"(8.772, 12.068]"
101,5.789068331453356,0.1460236122705075,0.8348910869902374,0.08307476813301294,-0.016802933270197856,0.30885015781121283,ask_depth_before,beta_normalized_best,"(4.854, 6.625]"
98,7.550781167942968,0.10555988732268404,0.5543696488690284,0.055999791142756467,-0.004199703317118636,0.2153194779624867,ask_depth_before,beta_normalized_best,"(6.625, 8.338]"
101,8.97549736269218,0.09997537181772664,0.7993241804203545,0.0795357286552372,-0.05591465634653825,0.25586539998199154,ask_depth_before,beta_normalized_best,"(8.338, 9.825]"
98,10.753233537746176,0.26638026125063907,0.7631155837375203,0.07708631486999018,0.11529108410545832,0.41746943839581985,ask_depth_before,beta_normalized_best,"(9.825, 12.559]"
398,1.0402010050251256,0.15401013053542037,0.7472251942796551,0.03745501459091558,0.08059830193722584,0.2274219591336149,spread_before,beta_normalized_best,"(0.999, 2.0]"
103,-0.23737151257991235,0.18594813448207415,0.7829689797416249,0.07714822596338484,0.03473761159383984,0.3371586573703085,imbalance_before,beta_normalized_best,"(-0.398, -0.155]"
98,-0.0980270590876353,0.22271455132744042,0.9614081703400019,0.09711689096222383,0.03236544504148173,0.41306365761339914,imbalance_before,beta_normalized_best,"(-0.155, -0.0289]"
101,0.030356759099027394,0.0558591290318476,0.2814275396314928,0.028003086828263097,0.000973078848451929,0.11074517921524327,imbalance_before,beta_normalized_best,"(-0.0289, 0.119]"
96,0.2309587004853276,0.15287058374101994,0.7948152230789141,0.08112048901415515,-0.006125574726724148,0.31186674220876404,imbalance_before,beta_normalized_best,"(0.119, 0.384]"
151,10.947019867549669,0.22529597073990384,0.9486001956931989,0.07719598912431885,0.07399183205623888,0.3766001094235688,inventory_before,beta_normalized_best,"(8.999, 12.0]"
131,13.694656488549619,0.11825691910744472,0.6138655616809433,0.053633683148514674,0.01313490013635596,0.22337893807853348,inventory_before,beta_normalized_best,"(12.0, 14.0]"
86,15.0,0.0754318922478854,0.5508114841090969,0.059395529843785565,-0.04098334624593432,0.19184713074170512,inventory_before,beta_normalized_best,"(14.0, 15.0]"
30,16.0,0.1765847078326143,0.5996916601950841,0.10948821661219017,-0.03801219672727846,0.39118161239250704,inventory_before,beta_normalized_best,"(15.0, 16.0]"
