seed,t0,delta,delta_units,horizon,curve_mode,impulse_mode,strategic_direction,selected_action_index,selected_slack_index,baseline_X,baseline_immediate_midprice,baseline_DeltaP,baseline_future_midprice,inventory_before,midprice_before,spread_before,imbalance_before,bid_depth_before,ask_depth_before,best_bid_before,best_ask_before,X_level,immediate_midprice_level,DeltaP_level,future_midprice_level,planned_market_sell_baseline,planned_market_sell_level,local_treatment_difference,local_immediate_level_difference,local_level_difference,local_outcome_difference,beta_exec_immediate_hat,beta_exec_level_hat,beta_exec_hat,beta_action_immediate_hat,beta_action_level_hat,beta_action_hat,clipped
127,2,1.0,lots,1,symmetric,True,sell,0,1,-3.0,997.5,0.0,997.5,13.0,997.5,1.0,0.38394407257661817,11.140898730543979,4.959316518475333,997.0,998.0,-4.0,997.5,0.0,997.5,3.0,4.0,-1.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,False
127,2,2.0,lots,1,symmetric,True,sell,0,1,-3.0,997.5,0.0,997.5,13.0,997.5,1.0,0.38394407257661817,11.140898730543979,4.959316518475333,997.0,998.0,-5.0,997.5,0.0,997.5,3.0,5.0,-2.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,False
127,2,3.0,lots,1,symmetric,True,sell,0,1,-3.0,997.5,0.0,997.5,13.0,997.5,1.0,0.38394407257661817,11.140898730543979,4.959316518475333,997.0,998.0,-6.0,997.5,0.0,997.5,3.0,6.0,-3.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,False
129,2,-3.0,lots,1,symmetric,True,sell,0,1,-5.0,999.0,-1.0,998.5,15.0,999.5,1.0,-0.26598500116116963,6.848199097553006,11.811362650875743,999.0,1000.0,-1.0,999.5,-1.0,998.5,4.0,1.0,4.0,0.5,0.0,0.0,0.125,0.0,0.0,-0.16666666666666666,-0.0,-0.0,False
129,2,-2.0,lots,1,symmetric,True,sell,0,1,-5.0,999.0,-1.0,998.5,15.0,999.5,1.0,-0.26598500116116963,6.848199097553006,11.811362650875743,999.0,1000.0,-3.0,999.0,-1.0,998.5,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,False
129,2,-1.0,lots,1,symmetric,True,sell,0,1,-5.0,999.0,-1.0,998.5,15.0,999.5,1.0,-0.26598500116116963,6.848199097553006,11.811362650875743,999.0,1000.0,-4.0,999.0,-1.0,998.5,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,False
129,2,0.0,lots,1,symmetric,True,sell,0,1,-5.0,999.0,-1.0,998.5,15.0,999.5,1.0,-0.26598500116116963,6.848199097553006,11.811362650875743,999.0,1000.0,-5.0,999.0,-1.0,998.5,4.0,4.0,0.0,0.0,0.0,0.0,,,,,,,False
129,2,1.0,lots,1,symmetric,True,sell,0,1,-5.0,999.0,-1.0,998.5,15.0,999.5,1.0,-0.26598500116116963,6.848199097553006,11.811362650875743,999.0,1000.0,-6.0,999.0,-1.0,998.5,4.0,5.0,-1.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,False
129,2,2.0,lots,1,symmetric,True,sell,0,1,-5.0,999.0,-1.0,998.5,15.0,999.5,1.0,-0.26598500116116963,6.848199097553006,11.811362650875743,999.0,1000.0,-7.0,999.0,-1.0,998.5,4.0,6.0,-2.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,False
129,2,3.0,lots,1,symmetric,True,sell,0,1,-5.0,999.0,-1.0,998.5,15.0,999.5,1.0,-0.26598500116116963,6.848199097553006,11.811362650875743,999.0,1000.0,-8.0,999.0,-1.0,998.5,4.0,7.0,-3.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,False
