seed,t0,strategic_direction,inventory_before,midprice_before,spread_before,imbalance_before,bid_depth_before,ask_depth_before,best_bid_before,best_ask_before,baseline_X,baseline_immediate_midprice,baseline_DeltaP,baseline_future_midprice,planned_market_sell_baseline
220,2,sell,15.0,998.5,1.0,0.11904387693925789,7.925910370004751,6.239593831105269,998.0,999.0,-6.0,998.5,-0.5,998.0,3.0
225,2,sell,13.0,998.5,1.0,-0.09499406088834075,6.755601981451341,8.173807184818976,998.0,999.0,-3.0,998.5,-1.0,997.5,3.0
226,3,sell,12.0,997.5,1.0,-0.1129116439199352,6.434854770066192,8.072955474453373,997.0,998.0,-3.0,997.0,-1.0,996.5,3.0
228,3,sell,11.0,998.5,1.0,-0.21283164798892817,7.460145976279698,11.494238958583049,998.0,999.0,-3.0,998.5,-1.0,997.5,3.0
235,2,sell,12.0,998.5,1.0,-0.2796261787046017,6.135510998252371,10.898730993549348,998.0,999.0,-3.0,998.0,-1.0,997.5,3.0
238,4,sell,9.0,997.5,1.0,-0.14198259208939543,7.709221652203526,10.260627400105532,997.0,998.0,-3.0,997.5,-1.0,996.5,3.0
240,2,sell,14.0,997.5,1.0,0.048193793926294755,7.544355614656551,6.850607718215544,997.0,998.0,-3.0,997.5,-1.0,996.5,3.0
243,2,sell,13.0,999.5,1.0,-0.23612836395058787,5.838308972173271,9.447790672441919,999.0,1000.0,-4.0,999.0,-1.0,998.5,4.0
246,3,sell,11.0,997.5,1.0,0.17399429594480245,9.47649723074105,6.667528789614683,997.0,998.0,-3.0,997.5,0.0,997.5,3.0
248,2,sell,14.0,998.5,1.0,0.14667589296765013,9.763638198611412,7.265826288241391,998.0,999.0,-4.0,998.5,-1.0,997.5,3.0
249,3,sell,12.0,997.5,1.0,0.3766002316940481,11.790922018302558,5.33957345429026,997.0,998.0,-3.0,997.5,0.0,997.5,3.0
260,2,sell,15.0,998.5,1.0,0.24527973786415774,8.799268098308417,5.332926991287254,998.0,999.0,-4.0,998.5,-1.0,997.5,3.0
270,2,sell,15.0,998.5,1.0,-0.2871277821946207,5.581930063004952,10.078464390826522,998.0,999.0,-5.0,998.0,-1.0,997.5,4.0
271,2,sell,14.0,998.5,1.0,-0.2292934676680246,6.344447891144364,10.119530614260457,998.0,999.0,-4.0,998.0,-1.0,997.5,4.0
277,2,buy,10.0,1001.5,1.0,-0.39695093070352117,5.17116217011338,11.978892223125609,1001.0,1002.0,-6.0,1001.5,0.0,1001.5,3.0
278,2,sell,14.0,998.5,1.0,-0.1411515733774393,6.42517477447519,8.537127246015954,998.0,999.0,-3.0,998.0,-1.0,997.5,3.0
279,2,sell,15.0,998.5,1.0,0.012768929042128693,8.451598151877906,8.238483681243459,998.0,999.0,-7.0,998.5,-1.0,997.5,3.0
285,2,sell,16.0,998.0,2.0,0.018948815870765724,5.855875679137695,5.638078851116946,997.0,999.0,-9.0,997.5,-0.5,997.5,3.0
292,3,sell,9.0,999.5,1.0,-0.3668567949058714,5.817448381882881,12.558957887905667,999.0,1000.0,-4.0,999.0,-1.0,998.5,3.0
299,2,sell,12.0,998.5,1.0,-0.028919917313070243,8.692010492765908,9.209727268584427,998.0,999.0,-6.0,998.5,-1.0,997.5,3.0
304,3,sell,11.0,997.5,1.0,0.07853164242015417,7.499679266234029,6.407523770304132,997.0,998.0,-4.0,997.5,-1.0,996.5,3.0
308,2,sell,16.0,998.5,1.0,0.017173384364808895,8.399529352583242,8.115903476655541,998.0,999.0,-8.0,998.5,-1.0,997.5,3.0
319,2,sell,15.0,998.5,1.0,0.01839933575656837,9.245578512490065,8.911500322643953,998.0,999.0,-9.0,998.5,-1.0,997.5,3.0
323,2,sell,14.0,998.5,1.0,0.15803550194198718,8.015630321472432,5.8278663727661915,998.0,999.0,-8.0,998.5,-0.5,998.0,3.0
330,2,sell,15.0,997.5,1.0,0.3755717881672578,12.068225977177885,5.478260627141005,997.0,998.0,-4.0,997.5,0.0,997.5,3.0
334,2,sell,14.0,998.5,1.0,0.17002792481581566,8.057746222978778,5.715850205067533,998.0,999.0,-4.0,998.5,-1.0,997.5,3.0
349,3,sell,10.0,998.5,1.0,-0.0525726906876943,8.177514367799354,9.085054037021147,998.0,999.0,-6.0,998.5,-1.0,997.5,3.0
351,2,sell,14.0,998.5,1.0,0.15908397512771516,9.131723127533327,6.62506986328882,998.0,999.0,-7.0,998.5,0.0,998.5,3.0
358,2,sell,14.0,998.5,1.0,-0.050981133523184494,6.709508967063148,7.430376348329707,998.0,999.0,-3.0,998.0,-1.0,997.5,3.0
360,2,sell,13.0,998.5,1.0,0.16901777168659113,8.231002179613078,5.850908940930222,998.0,999.0,-3.0,998.5,0.0,998.5,3.0
