delta,n_runs,n_support_pairs,support_pair_rate,mean_X_level,mean_DeltaP_level,mean_immediate_midprice_level,mean_future_midprice_level,mean_local_treatment_difference,mean_local_immediate_level_difference,immediate_level_effect_ci95_low,immediate_level_effect_ci95_high,beta_exec_immediate_pool_hat,beta_exec_immediate_pool_ci95_low,beta_exec_immediate_pool_ci95_high,mean_local_level_difference,level_effect_ci95_low,level_effect_ci95_high,beta_exec_level_pool_hat,beta_exec_level_pool_ci95_low,beta_exec_level_pool_ci95_high,mean_local_outcome_difference,local_outcome_ci95_low,local_outcome_ci95_high,beta_exec_pool_hat,beta_exec_pool_ci95_low,beta_exec_pool_ci95_high
-3.0,78,75,0.9615384615384616,-2.3076923076923075,-0.5448717948717948,998.3397435897435,997.8269230769231,2.58974358974359,0.1346153846153846,0.08,0.18,0.037463976945244955,0.021911624060786034,0.057391254728055285,0.10256410256410256,0.013333333333333334,0.18666666666666668,0.020172910662824207,-0.006320119952681982,0.04747212176009643,0.10256410256410256,0.013333333333333334,0.18666666666666668,0.020172910662824207,-0.006320119952681982,0.04747212176009643
-2.0,78,63,0.8076923076923077,-3.3846153846153846,-0.5897435897435898,998.2692307692307,997.7820512820513,1.5128205128205128,0.0641025641025641,0.023809523809523808,0.10317460317460317,0.027573529411764705,0.011027399098325463,0.04826416299464626,0.057692307692307696,0.007936507936507936,0.14285714285714285,0.014705882352941176,-0.028148033046577633,0.05776892430278884,0.057692307692307696,0.007936507936507936,0.14285714285714285,0.014705882352941176,-0.028148033046577633,0.05776892430278884
-1.0,78,66,0.8461538461538461,-4.166666666666667,-0.5961538461538461,998.224358974359,997.775641025641,0.7307692307692307,0.019230769230769232,0.0,0.05303030303030303,0.004,-0.009805534055727554,0.0196078431372549,0.05128205128205128,-0.03787878787878788,0.10606060606060606,-0.04,-0.11494455237170147,0.057296156609195376,0.05128205128205128,-0.03787878787878788,0.10606060606060606,-0.04,-0.11494455237170147,0.057296156609195376
0.0,78,0,0.0,-4.897435897435898,-0.6474358974358975,998.2051282051282,997.724358974359,0.0,0.0,,,,,,0.0,,,,,,0.0,,,,,
1.0,78,66,0.8461538461538461,-5.67948717948718,-0.6858974358974359,998.1794871794872,997.6858974358975,-0.782051282051282,-0.02564102564102564,-0.05303030303030303,0.0,-0.004273504273504274,-0.03170807250912885,0.021743897787948104,-0.038461538461538464,-0.09090909090909091,0.007575757575757576,-0.004273504273504274,-0.05392488076311606,0.04854368932038835,-0.038461538461538464,-0.09090909090909091,0.007575757575757576,-0.004273504273504274,-0.05392488076311606,0.04854368932038835
2.0,78,64,0.8205128205128205,-6.435897435897436,-0.7051282051282052,998.1346153846154,997.6666666666666,-1.5384615384615385,-0.07051282051282051,-0.109375,-0.0234375,0.010638297872340425,-0.005436275680840898,0.029299747242647042,-0.057692307692307696,-0.125,0.0078125,0.015957446808510637,-0.015200770941783414,0.05235113570916853,-0.057692307692307696,-0.125,0.0078125,0.015957446808510637,-0.015200770941783414,0.05235113570916853
3.0,78,64,0.8205128205128205,-7.153846153846154,-0.7756410256410257,998.1025641025641,997.5961538461538,-2.2564102564102564,-0.10256410256410256,-0.140625,-0.0390625,0.023636363636363636,0.009157509157509158,0.04008095482008793,-0.1282051282051282,-0.2109375,-0.0625,0.046363636363636364,0.02023570020335284,0.07578802339463885,-0.1282051282051282,-0.2109375,-0.0625,0.046363636363636364,0.02023570020335284,0.07578802339463885
