delta,step_ahead,clock_ahead,n_runs,mean_response_vs_baseline,mean_level_effect_vs_baseline,response_ci95_low,response_ci95_high,mean_level_delta_p,level_delta_p_ci95_low,level_delta_p_ci95_high,mean_baseline_delta_p
0.0,9,135.0,35,0.0,0.0,0.0,0.0,-3.442857142857143,-3.6285714285714286,-3.257142857142857,-3.442857142857143
1.0,0,0.0,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1,15.0,78,-0.038461538461538464,-0.038461538461538464,-0.08333333333333333,0.0,-0.6858974358974359,-0.782051282051282,-0.5833333333333334,-0.6474358974358975
1.0,2,30.0,78,0.00641025641025641,0.00641025641025641,-0.07051282051282051,0.08333333333333333,-1.064102564102564,-1.1796474358974358,-0.9487179487179487,-1.0705128205128205
1.0,3,45.0,78,0.01282051282051282,0.01282051282051282,-0.05128205128205128,0.07692307692307693,-1.5320512820512822,-1.6666666666666667,-1.3782051282051282,-1.544871794871795
1.0,4,60.0,72,0.027777777777777776,0.027777777777777776,-0.06944444444444445,0.12517361111111017,-1.9375,-2.076388888888889,-1.7847222222222223,-1.9652777777777777
1.0,5,75.0,57,-0.03508771929824561,-0.03508771929824561,-0.12280701754385964,0.043859649122807015,-2.3421052631578947,-2.526315789473684,-2.1138157894736853,-2.307017543859649
1.0,6,90.0,45,0.07777777777777778,0.07777777777777778,-0.022222222222222223,0.17777777777777778,-2.6333333333333333,-2.8666666666666667,-2.3552777777777796,-2.7111111111111112
1.0,7,105.0,41,0.17073170731707318,0.17073170731707318,0.012195121951219513,0.34146341463414637,-2.951219512195122,-3.219817073170732,-2.633841463414636,-3.1219512195121952
1.0,8,120.0,35,0.11428571428571428,0.11428571428571428,-0.07142857142857142,0.3142857142857143,-3.3857142857142857,-3.6,-3.2,-3.5
1.0,9,135.0,26,-0.057692307692307696,-0.057692307692307696,-0.25,0.11538461538461539,-3.5576923076923075,-3.769230769230769,-3.3653846153846154,-3.5
2.0,0,0.0,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1,15.0,78,-0.057692307692307696,-0.057692307692307696,-0.1282051282051282,0.0,-0.7051282051282052,-0.8076923076923077,-0.5959935897435906,-0.6474358974358975
2.0,2,30.0,78,-0.01282051282051282,-0.01282051282051282,-0.08974358974358974,0.057692307692307696,-1.0833333333333333,-1.2115384615384615,-0.9487179487179487,-1.0705128205128205
2.0,3,45.0,78,0.0,0.0,-0.08974358974358974,0.08974358974358974,-1.544871794871795,-1.6794871794871795,-1.3974358974358974,-1.544871794871795
2.0,4,60.0,71,0.08450704225352113,0.08450704225352113,-0.007042253521126761,0.176056338028169,-1.880281690140845,-2.028169014084507,-1.7112676056338028,-1.9647887323943662
2.0,5,75.0,54,-0.037037037037037035,-0.037037037037037035,-0.1574074074074074,0.08333333333333333,-2.324074074074074,-2.5277777777777777,-2.074074074074074,-2.287037037037037
2.0,6,90.0,45,0.044444444444444446,0.044444444444444446,-0.07777777777777778,0.16666666666666666,-2.7111111111111112,-2.977777777777778,-2.3777777777777778,-2.7555555555555555
2.0,7,105.0,42,0.10714285714285714,0.10714285714285714,-0.047619047619047616,0.2619047619047619,-3.0,-3.2976190476190474,-2.6306547619047636,-3.107142857142857
2.0,8,120.0,37,0.06756756756756757,0.06756756756756757,-0.08108108108108109,0.21621621621621623,-3.4054054054054053,-3.6216216216216215,-3.189189189189189,-3.472972972972973
2.0,9,135.0,28,0.0,0.0,-0.17857142857142858,0.14285714285714285,-3.4642857142857144,-3.714732142857143,-3.1964285714285716,-3.4642857142857144
3.0,0,0.0,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1,15.0,78,-0.1282051282051282,-0.1282051282051282,-0.21153846153846154,-0.05128205128205128,-0.7756410256410257,-0.8846153846153846,-0.6666666666666666,-0.6474358974358975
3.0,2,30.0,78,-0.00641025641025641,-0.00641025641025641,-0.08333333333333333,0.07692307692307693,-1.0769230769230769,-1.1923076923076923,-0.961378205128206,-1.0705128205128205
3.0,3,45.0,78,-0.0641025641025641,-0.0641025641025641,-0.14743589743589744,0.019230769230769232,-1.608974358974359,-1.7371794871794872,-1.4615384615384615,-1.544871794871795
3.0,4,60.0,72,-0.020833333333333332,-0.020833333333333332,-0.1111111111111111,0.06944444444444445,-1.9652777777777777,-2.111111111111111,-1.8125,-1.9444444444444444
3.0,5,75.0,54,-0.07407407407407407,-0.07407407407407407,-0.18518518518518517,0.027777777777777776,-2.3796296296296298,-2.564814814814815,-2.157175925925927,-2.3055555555555554
3.0,6,90.0,47,0.0,0.0,-0.11702127659574468,0.11702127659574468,-2.74468085106383,-3.0,-2.4571808510638316,-2.74468085106383
3.0,7,105.0,43,0.06976744186046512,0.06976744186046512,-0.10465116279069768,0.23255813953488372,-3.0348837209302326,-3.302325581395349,-2.7093023255813953,-3.104651162790698
3.0,8,120.0,39,0.05128205128205128,0.05128205128205128,-0.10256410256410256,0.21794871794871795,-3.3974358974358974,-3.6025641025641026,-3.1666666666666665,-3.448717948717949
3.0,9,135.0,28,-0.05357142857142857,-0.05357142857142857,-0.26785714285714285,0.14285714285714285,-3.5714285714285716,-3.767857142857143,-3.375,-3.517857142857143
