t0,n_runs,n_usable_pairs,usable_pair_rate,n_support_pairs,support_pair_rate,mean_beta_exec_hat,median_beta_exec_hat,beta_exec_pool_hat,mean_local_treatment_difference,outcome_changed_rate,treatment_changed_rate
0,54,54,1.0,51,0.9444444444444444,-0.02007469654528478,0.0,0.015570934256055362,-1.8235294117647058,0.35185185185185186,0.9444444444444444
1,40,40,1.0,39,0.975,-0.00641025641025641,0.0,-0.005649717514124294,-1.9743589743589745,0.275,0.975
2,41,41,1.0,41,1.0,-0.012195121951219513,0.0,-0.0030120481927710845,-1.951219512195122,0.2682926829268293,1.0
3,27,27,1.0,26,0.9629629629629629,0.08653846153846154,0.0,0.07758620689655173,-2.076923076923077,0.4074074074074074,0.9629629629629629
4,16,16,1.0,16,1.0,0.046875,0.0,0.039473684210526314,-2.125,0.625,1.0
5,11,11,1.0,11,1.0,-0.45454545454545453,-0.5,-0.45454545454545453,-2.0,0.8181818181818182,1.0
