strategic_direction,n_runs,n_usable_pairs,usable_pair_rate,n_support_pairs,support_pair_rate,mean_beta_exec_hat,median_beta_exec_hat,beta_exec_pool_hat,beta_exec_pool_boot_ci95_low,beta_exec_pool_boot_ci95_high,mean_local_treatment_difference,treatment_changed_rate,outcome_changed_rate
buy,85,85,1.0,84,0.9882352941176471,0.050595238095238096,0.0,0.04985337243401759,-0.02023121387283237,0.12202380952380952,-2.011904761904762,0.9882352941176471,0.32941176470588235
sell,104,104,1.0,100,0.9615384615384616,-0.08023809523809523,0.0,-0.04174573055028463,-0.10592069284151769,0.013662137884572193,-1.91,0.9615384615384616,0.41346153846153844
