seed,t0,delta,delta_units,intervention_target,branch_from_state,horizon,strategic_direction,baseline_signed_executed_volume,baseline_planned_market_sell,X_plus,X_minus,planned_market_sell_plus,planned_market_sell_minus,local_treatment_difference,DeltaP_plus,DeltaP_minus,local_outcome_difference,beta_action_hat,beta_exec_hat,beta_true_hat,selected_action_index,selected_slack_index,plus_clipped,minus_clipped,market_env,volume,terminal_time,time_delta,drop_feature,policy_kind,fixed_action,action_index,slack_index,adaptive_intervention,intervention_mode,usable_pair,absolute_beta_action_hat,absolute_beta_exec_hat,absolute_beta_true_hat,warnings
188,0,1.0,lots,market,True,5,buy,-3.0,3.0,-4.0,-2.0,4.0,2.0,-2.0,1.0,1.0,0.0,0.0,-0.0,0.0,0,6,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.0,0.0,0.0,
189,3,1.0,lots,market,True,5,buy,-2.0,1.0,-3.0,-1.0,2.0,0.0,-2.0,0.0,2.0,-2.0,-1.0,1.0,-1.0,0,6,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,1.0,1.0,1.0,
190,3,1.0,lots,market,True,5,buy,-2.0,1.0,-3.0,-1.0,2.0,0.0,-2.0,0.0,2.0,-2.0,-1.0,1.0,-1.0,0,6,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,1.0,1.0,1.0,
191,1,1.0,lots,market,True,5,buy,-5.0,1.0,-6.0,-4.0,2.0,0.0,-2.0,2.0,2.0,0.0,0.0,-0.0,0.0,0,6,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.0,0.0,0.0,
192,2,1.0,lots,market,True,5,sell,-3.0,3.0,-4.0,-2.0,4.0,2.0,-2.0,-2.0,-2.0,0.0,0.0,-0.0,0.0,0,5,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.0,0.0,0.0,
193,5,1.0,lots,market,True,5,sell,-1.0,1.0,-2.0,0.0,2.0,0.0,-2.0,0.0,-1.0,1.0,0.5,-0.5,0.5,0,1,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.5,0.5,0.5,
194,3,1.0,lots,market,True,5,sell,-2.0,2.0,-3.0,-1.0,3.0,1.0,-2.0,-2.0,-2.0,0.0,0.0,-0.0,0.0,0,5,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.0,0.0,0.0,
195,2,1.0,lots,market,True,5,buy,-3.0,1.0,-4.0,-2.0,2.0,0.0,-2.0,3.0,2.0,1.0,0.5,-0.5,0.5,0,6,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.5,0.5,0.5,
196,2,1.0,lots,market,True,5,buy,-2.0,1.0,-3.0,-1.0,2.0,0.0,-2.0,1.0,2.0,-1.0,-0.5,0.5,-0.5,0,6,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.5,0.5,0.5,
197,2,1.0,lots,market,True,5,sell,-8.0,3.0,-9.0,-7.0,4.0,2.0,-2.0,-3.0,-3.0,0.0,0.0,-0.0,0.0,0,5,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.0,0.0,0.0,
198,1,1.0,lots,market,True,5,buy,-8.0,2.0,-9.0,-7.0,3.0,1.0,-2.0,2.5,1.0,1.5,0.75,-0.75,0.75,0,5,False,False,strategic,20,150,15,,heuristic_sell,,0,-1,True,random,True,0.75,0.75,0.75,
