t0,n_runs,n_usable_pairs,usable_pair_rate,n_support_pairs,support_pair_rate,mean_beta_exec_hat,median_beta_exec_hat,beta_exec_pool_hat,mean_local_treatment_difference,outcome_changed_rate,treatment_changed_rate
0,43,43,1.0,40,0.9302325581395349,0.0225,0.0,-0.00663716814159292,-2.1,0.18604651162790697,0.9302325581395349
1,42,42,1.0,42,1.0,0.005952380952380952,0.0,0.005952380952380952,-2.0,0.2857142857142857,1.0
2,47,47,1.0,45,0.9574468085106383,-0.01296296296296296,0.0,-0.020833333333333332,-2.0,0.2553191489361702,0.9574468085106383
3,26,26,1.0,26,1.0,0.0673076923076923,0.0,0.05612244897959184,-1.8461538461538463,0.5,1.0
4,25,25,1.0,25,1.0,0.02,0.0,0.03977272727272727,-1.84,0.52,1.0
5,14,14,1.0,14,1.0,-0.029761904761904767,0.0,0.0,-2.0714285714285716,0.35714285714285715,1.0
6,3,3,1.0,3,1.0,-0.5,-0.5,-0.5,-2.0,1.0,1.0
